snes-00726	A Democratic candidate for Ohio governor revealed he received $20,000 from a pro-Assad group.	true	https://www.snopes.com/fact-check/ohio-candidate-pro-assad-group/	None	Politics	None	Bethania Palma	None	Did an Ohio Gubernatorial Candidate Accept $20,000 from a Pro-Assad Group?	23 April 2018	None	['Ohio', 'Democratic_Party_(United_States)']
snes-02529	Facebook users can receive a Bed Bath & Beyond coupon in exchange for sharing a post or taking a survey.	scam	https://www.snopes.com/fact-check/bed-bath-beyond-coupon/	None	Inboxer Rebellion	None	Kim LaCapria	None	$75 Bed Bath & Beyond Coupon?	28 April 2017	None	['Bed_Bath_&_Beyond']
snes-03651	The FBI announced an inquiry into Russian ties between the Trump campaign and the Russian government.	true	https://www.snopes.com/fact-check/manafort-ties-to-russia/	None	Politics	None	Bethania Palma	None	FBI Announces Inquiry Into Trump Campaign Ties to Russia?	1 November 2016	None	['Russia', 'Federal_Bureau_of_Investigation']
snes-06087	Jim Nabors married Rock Hudson were married to each other.	false	https://www.snopes.com/fact-check/jim-nabors-rock-hudson-marriage/	None	Weddings	None	Snopes Staff	None	Did Jim Nabors and Rock Hudson Get Married?	30 March 2001	None	['None']
snes-03418	Republicans in Texas made significant cuts to Medicaid after they were "emboldened" by the results of the 2016 general election.	mixture	https://www.snopes.com/fact-check/emboldened-election-texas-republicans-kill-medicaid-funding-children-disabilities/	None	Politics	None	Kim LaCapria	None	Emboldened by Election, Texas Republicans Kill Medicaid Funding for Children with Disabilities?	5 December 2016	None	['Texas', 'Republican_Party_(United_States)']
snes-05190	Israel has banned the sale of Heinz brand ketchup, partially due to the product's use of GMO-derived ingredients.	mostly false	https://www.snopes.com/fact-check/israel-bans-heinz-ketchup/	None	Food	None	Kim LaCapria	None	Israel Just Banned Heinz Ketchup	18 February 2016	None	['Israel', 'H._J._Heinz_Company']
snes-01851	Robert F. Kennedy Jr. said that “Trump could be the greatest president in history.”	mixture	https://www.snopes.com/fact-check/kennedy-trump-greatest-president/	None	Politics	None	Alex Kasprak	None	Robert F. Kennedy Jr. Said That “Trump Could Be the Greatest President in History”?	23 August 2017	None	['None']
snes-00572	Donald Trump called undocumented immigrants "animals," just as Adolf Hitler called Jewish people "animals."	mixture	https://www.snopes.com/fact-check/trump-animals-hitler/	None	Politics	None	Dan MacGuill	None	Did Trump Echo Hitler by Calling Undocumented Immigrants ‘Animals’?	21 May 2018	None	['Adolf_Hitler', 'Jews']
snes-04702	Donald Trump admitted on Twitter that he was a political plant for Hillary Clinton.	false	https://www.snopes.com/fact-check/donald-trump-twitter-plant-clinton/	None	Junk News	None	Dan Evon	None	Donald Trump Just Admitted He Was a Hillary Clinton Plant the Whole Time	26 May 2016	None	['Hillary_Rodham_Clinton', 'Donald_Trump']
snes-03265	Multiple precincts in Detroit reported more votes than voters in the 2016 general election, suggesting voter or electoral fraud.	mixture	https://www.snopes.com/fact-check/more-votes-than-voters-in-detroit/	None	Ballot Box	None	Kim LaCapria	None	More Votes Than Voters in Detroit	26 December 2016	None	['Detroit']
snes-03236	An image shows an advertisement for Trump Tower in Mumbai stating that there is "only one way to live" installed over a group of homeless people.	true	https://www.snopes.com/fact-check/trump-tower-billboard-in-mumbai/	None	Fauxtography	None	Dan Evon	None	Trump Tower Billboard in Mumbai	30 December 2016	None	['Mumbai']
snes-03997	Dolly Parton publicly criticized Hillary Clinton and endorsed Donald Trump.	mixture	https://www.snopes.com/fact-check/dolly-parton-trashes-hillary-clinton/	None	Politicians	None	Dan Evon	None	Dolly Parton ‘Trashes’ Hillary Clinton?	20 September 2016	None	['Hillary_Rodham_Clinton', 'Donald_Trump', 'Dolly_Parton']
snes-05657	Photograph shows a 12-week-old fetus.	miscaptioned	https://www.snopes.com/fact-check/12-week-photo/	None	Fauxtography	None	David Mikkelson	None	Is This a Photograph of a 12-Week Fetus?	10 November 2013	None	['None']
snes-00256	Did President Donald Trump Donate His Entire $400,000 Salary to Rebuild Military Cemeteries?	false	https://www.snopes.com/fact-check/trump-salary-military-cemeteries/	None	Politics	None	Dan MacGuill	None	Did President Donald Trump Donate His Entire $400,000 Salary to Rebuild Military Cemeteries?	3 August 2018	None	['None']
snes-00349	The Department of Health and Human Services requested that funding for the Ryan White HIV/AIDS Program be used for detainment of immigrant children.	true	https://www.snopes.com/fact-check/hiv-treatment-funds-immigrants/	None	Politics	None	Arturo Garcia	None	Are Federal HIV Treatment Funds Being Used for Immigrant Internment?	13 July 2018	None	['None']
snes-06182	A list of 'You may be a Muslim' jokes originated with comedian Jeff Foxworthy.	false	https://www.snopes.com/fact-check/you-may-be-a-muslim/	None	Humor	None	David Mikkelson	None	Is a List of ‘You May Be a Muslim’ Jokes the Work of Jeff Foxworthy?	15 November 2010	None	['Jeff_Foxworthy']
snes-05086	Bernie Sanders was omitted from the Chicago primary ballot.	false	https://www.snopes.com/fact-check/bernie-sanders-chicago-ballot/	None	Uncategorized	None	Kim LaCapria	None	Bernie Sanders Not on Chicago Primary Ballot?	10 March 2016	None	['Chicago', 'Bernie_Sanders']
snes-02621	A law enforcement officer in Texas was shot and killed by '3 Muslim refugee' [sic]	false	https://www.snopes.com/fact-check/deputy-muslim-refugees/	None	Junk News	None	Arturo Garcia	None	Was a Texas County Deputy Killed by Muslim Refugees?	13 April 2017	None	['Texas', 'Islam']
snes-00850	Was Emma González Filmed Ripping Up the U.S. Constitution?	false	https://www.snopes.com/fact-check/emma-gonzalez-ripping-up-constitution/	None	Fauxtography	None	David Mikkelson	None	Was Emma González Filmed Ripping Up the U.S. Constitution?	25 March 2018	None	['None']
snes-01867	The Vietnam Veterans Memorial was defaced with graffiti.	mixture	https://www.snopes.com/fact-check/vietnam-wall-graffiti/	None	Politics	None	Kim LaCapria	None	Vietnam Memorial Vandalized with Graffiti	16 June 2016	None	['None']
snes-01181	A new division of the Department of Health and Human Services will allow doctors to refuse to treat LGBTQ patients for religious reasons.	true	https://www.snopes.com/fact-check/hhs-allow-doctors-to-refuse-lgbtq/	None	Religion	None	Arturo Garcia	None	Will Health and Human Services Allow Doctors Refuse to Treat LGBTQ Patients?	18 January 2018	None	['None']
snes-05666	Human trafficking rings are using job interviews to lure college students.	false	https://www.snopes.com/fact-check/interview-for-trafficking/	None	Crime	None	Kim LaCapria	None	Summer Job Interview or Human Trafficking Front?	5 June 2015	None	['None']
snes-04635	U.S. District Judge Gonzalo Curiel is a member of the "Latino KKK" group La Raza.	false	https://www.snopes.com/fact-check/judge-curiel-la-raza-kkk/	None	Politicians	None	Dan Evon	None	Judge Curiel a Member of ‘Latino KKK Hate Group’ Called ‘La Raza’	9 June 2016	None	['United_States']
snes-02197	The Southern Poverty Law Center is a "left-wing smear group" that incites hatred and violence against conservatives.	false	https://www.snopes.com/fact-check/splc-left-wing-smear-group/	None	Politics	None	David Emery	None	Is SPLC a ‘Left-Wing Smear Group’ That Encourages Violent Attacks?	15 June 2017	None	['None']
snes-02853	Target's stock crashed because of its transgender bathroom policy.	false	https://www.snopes.com/fact-check/targets-stock-transgender-bathroom-policy/	None	Uncategorized	None	Bethania Palma	None	Did Target’s Stock ‘Crash’ Due to Their Transgender Bathroom Policy?	1 March 2017	None	['None']
snes-02253	California Governor Jerry Brown signed a bill into law requiring all Christians "to register Bibles of all sizes, shapes, and translation version as 'assault weapons.'”	false	https://www.snopes.com/fact-check/california-christians-must-register-bibles-assault-weapons/	None	Junk News	None	Kim LaCapria	None	California Christians Must Register Bibles as Assault Weapons?	7 June 2017	None	['California', 'Jerry_Brown']
snes-04364	Rep. Elijah Cummings incorrectly stated during his 2016 DNC speech that Democrats gave black people the right to vote.	mostly false	https://www.snopes.com/fact-check/elijah-cummings-said-democrats-gave-black-people-the-right-to-vote/	None	Politics	None	Kim LaCapria	None	Elijah Cummings Said Democrats Gave Black People the Right to Vote?	27 July 2016	None	['Elijah_Cummings', 'Democratic_Party_(United_States)', 'Democratic_National_Committee']
snes-01684	Did Melania Trump Steal Her United Nations Speech From Michelle Obama?	false	https://www.snopes.com/fact-check/melania-trump-united-nations-obama/	None	Junk News	None	Dan Evon	None	Did Melania Trump Steal Her United Nations Speech from Michelle Obama?	23 September 2017	None	['None']
snes-05450	Donald Trump suspended his presidential campaign in December 2015.	false	https://www.snopes.com/fact-check/fake-donald-trump-drops-out/	None	Junk News	None	Dan Evon	None	Donald Trump Drops White House Bid?	22 December 2015	None	['None']
snes-06159	The first Thanksgiving proclamation in the United States was issued by George Washington.	true	https://www.snopes.com/fact-check/washingtons-thanksgiving-proclamation/	None	Holidays	None	David Mikkelson	None	Washington’s Thanksgiving Proclamation?	20 November 2012	None	['United_States', 'George_Washington']
snes-04501	A photograph shows Alton Sterling and two children holding guns.	unproven	https://www.snopes.com/fact-check/alton-sterling-photograph-myspace/	None	Fauxtography	None	Dan Evon	None	Photograph Shows Alton Sterling with Children, Guns	7 July 2016	None	['None']
snes-03415	Did the White House Ban Nativity Scenes?	false	https://www.snopes.com/fact-check/no-nativity-scenes-white-house/	None	Politics	None	Dan Evon	None	Did the White House Ban Nativity Scenes?	5 December 2016	None	['None']
snes-00751	A popular teen YouTuber planning a “live on-camera abortion” to raise Bitcoin donations for Planned Parenthood.	false	https://www.snopes.com/fact-check/live-abortion-for-bitcoin/	None	Junk News	None	David Mikkelson	None	Is a Popular Teen YouTuber Planning ‘Live On-Camera Abortion’ for Bitcoin Donations?	17 April 2018	None	['Planned_Parenthood', 'Bitcoin', 'YouTube']
snes-04495	Hacked Twitter DMs reveal that activist DeRay Mckesson planned a "summer of chaos" involving protests and riots with Attorney General Loretta Lynch.	false	https://www.snopes.com/fact-check/deray-mckesson-and-the-summer-of-chaos/	None	Conspiracy Theories	None	Kim LaCapria	None	DeRay Mckesson and the Summer of Chaos	8 July 2016	None	['None']
snes-03699	Consumers should be aware of plastic rice from China that is difficult to discern from "real rice."	unproven	https://www.snopes.com/fact-check/plastic-rice-from-china/	None	Food	None	Kim LaCapria	None	Plastic Rice from China	26 October 2016	None	['China']
snes-04058	Facebook is banning all Christian-themed content but will allow every other religion to share faith-based material on their social network.	false	https://www.snopes.com/fact-check/facebook-bans-christian-content/	None	Junk News	None	Kim LaCapria	None	Due to Religious Intolerance, Facebook Bans All Christian-Themed Content	12 September 2016	None	['None']
snes-05650	A child developed third-degree sunburn after using Dollar General brand spray-on sunblock.	unproven	https://www.snopes.com/fact-check/dg-sunblock-burns/	None	Medical	None	Dan Evon	None	Dollar General Sunblock Warning	17 June 2015	None	['None']
snes-02737	Did Trey Gowdy Order Exhumation of Vince Foster's Body?	false	https://www.snopes.com/fact-check/vince-foster-exhumed/	None	Junk News	None	Kim LaCapria	None	Trey Gowdy Just Had a Federal Judge Issue an Order to Exhume a Body?	23 March 2017	None	['None']
snes-03310	The staff at a restaurant in Hawaii walked out in protest over President Obama's visit.	false	https://www.snopes.com/fact-check/restaurant-staff-walks-out-when-obamas-walk-in/	None	Junk News	None	Dan Evon	None	Restaurant Staff Walks Out When Obamas Walk In	19 December 2016	None	['Barack_Obama', 'Hawaii']
snes-06367	A girl on an amusement park ride was scalped when her hair got caught in the attraction's machinery.	true	https://www.snopes.com/fact-check/hell-toupee/	None	Horrors	None	David Mikkelson	None	Amusement Park Scalping	22 May 2001	None	['None']
snes-00898	Toys R Us is closing all stores and gift cards are soon-to-be or no longer have value.	mostly true	https://www.snopes.com/fact-check/toys-r-us-closing-locations-not-accepting-gift-cards/	None	Business	None	Kim LaCapria	None	Is Toys R Us Closing All Locations, Not Accepting Gift Cards?	14 March 2018	None	['None']
snes-03299	The "darkest night in 500 years" will take place on 20 December 2016 due to a lunar eclipse.	false	https://www.snopes.com/fact-check/will-tonight-be-the-darkest-night-in-500-years/	None	Science	None	Kim LaCapria	None	Will Tonight Be the Darkest Night in 500 Years?	20 December 2016	None	['None']
snes-05337	A photograph shows Arnold Schwarzenegger's first day in New York.	miscaptioned	https://www.snopes.com/fact-check/arnold-schwarzeneggers-nyc-photo/	None	Fauxtography	None	Dan Evon	None	MISCAPTIONED: Arnold Schwarzenegger’s First Day in NYC	20 January 2016	None	['New_York_City', 'Arnold_Schwarzenegger']
snes-06434	Buddy Ebsen was slated to play the Tin Woodman in the 1939 film version of The Wizard of Oz, but he had to be replaced after the aluminum makeup used with his costume made him gravely ill.	true	https://www.snopes.com/fact-check/buddy-ebsen/	None	Entertainment	None	David Mikkelson	None	Was Buddy Ebsen the Original ‘Wizard of Oz’ Tin Man?	26 July 1997	None	['Buddy_Ebsen']
snes-05990	Did a mother leave a touching text message for the child she died shielding during an earthquake?	legend	https://www.snopes.com/fact-check/quake-mother/	None	Glurge Gallery	None	David Mikkelson	None	Quake Mother	23 September 2011	None	['None']
snes-04825	A photograph shows a spiral cloud formation encircling a tower.	false	https://www.snopes.com/fact-check/spiral-cloud-formation-himalayas/	None	Fauxtography	None	Dan Evon	None	Image of ‘Spiral Sky’ is a Digital Creation	2 May 2016	None	['None']
snes-03701	Michael Moore has endorsed Donald Trump for president.	false	https://www.snopes.com/fact-check/michael-moore-endorsed-donald-trump/	None	Politicians	None	Dan Evon	None	Michael Moore Endorsed Donald Trump?	26 October 2016	None	['Michael_Moore', 'Donald_Trump']
snes-00127	Did the Widow of ‘American Sniper’ Chris Kyle Criticize Nike’s Colin Kaepernick Campaign?	correct attribution	https://www.snopes.com/fact-check/taya-kyle-nike-american-sniper/	None	Politics	None	Dan MacGuill	None	Did the Widow of ‘American Sniper’ Chris Kyle Criticize Nike’s Colin Kaepernick Campaign?	6 September 2018	None	['Nike,_Inc.']
snes-02291	Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.	false	https://www.snopes.com/fact-check/weather-or-not/	None	Science	None	Snopes Staff	None	Did a Weather Channel Co-Founder Disprove Climate Change?	20 June 2008	None	['None']
snes-04798	Hillary Clinton's campaign made several payments to a company that destroys sensitive data due to an ongoing investigation into her use of e-mail while she was secretary of state.	mixture	https://www.snopes.com/fact-check/clinton-hard-drive-destruction/	None	Politicians	None	David Mikkelson	None	Clinton Paid ‘Hard Drive Destruction’ Company	6 May 2016	None	['None']
snes-03747	Televangelist Kenneth Copeland says "civil war" will unfold if Donald Trump loses the presidential election.	mostly false	https://www.snopes.com/fact-check/televangelist-threatens-civil-war/	None	Uncategorized	None	Arturo Garcia	None	Kenneth Copeland: ‘Whoever Doesn’t Vote for Trump Will Be Guilty for the Civil War We Planned’	21 October 2016	None	['Donald_Trump', 'Kenneth_Copeland']
snes-02828	Ruth Bader Ginsburg has resigned her U.S. Supreme Court seat and moved to New Zealand.	false	https://www.snopes.com/fact-check/ruth-bader-ginsburg-new-zealand/	None	Junk News	None	Dan Evon	None	Is Ruth Bader Ginsburg Retiring and Moving to New Zealand?	6 March 2017	None	['New_Zealand']
snes-01516	Orson Welles' 30 October 1938 radio adaptation of "The War of the Worlds" caused mass hysteria, convincing thousands of panicked listeners across North America that Earth was being attacked by Mars.	mostly false	https://www.snopes.com/fact-check/war-of-the-worlds/	None	Entertainment	None	David Emery	None	Did the 1938 Radio Broadcast of ‘War of the Worlds’ Cause a Nationwide Panic?	28 October 2016	None	['North_America']
snes-05695	Giving your dog ice or ice water on a hot day is likely to cause your pet to die from bloating and spasms.	false	https://www.snopes.com/fact-check/dogs-and-ice-water/	None	Critter Country	None	David Mikkelson	None	Is Ice Water Dangerous for Dogs?	17 June 2014	None	['None']
snes-03230	Oprah Winfrey and/or Tyler Perry are offering big-ticket Facebook giveaways.	false	https://www.snopes.com/fact-check/oprah-tyler-perry-facebook-giveaway/	None	Fraud & Scams	None	Snopes Staff	None	Are Oprah Winfrey and Tyler Perry Holding Giveaways?	30 December 2016	None	['Oprah_Winfrey', 'Facebook', 'Tyler_Perry']
snes-03597	A dead gorilla named Harambe received 15,000 votes in the 2016 U.S. presidential election.	false	https://www.snopes.com/fact-check/harambe-15000-votes/	None	Junk News	None	Dan Evon	None	Harambe, A Dead Gorilla, Got Over 15,000 Votes for President of the United States	9 November 2016	None	['United_States']
snes-00119	A photograph shows a Nike-manufactured "Make America Great Again" hat.	false	https://www.snopes.com/fact-check/nike-make-america-great-again-hat/	None	Fauxtography	None	Dan Evon	None	Is This Nike ‘Make America Great Again’ Hat Real?	7 September 2018	None	['None']
snes-05674	Cut Onions Contamination	false	https://www.snopes.com/fact-check/cut-onions-contamination/	None	Food	None	Snopes Staff	None	Cut Onions Contamination	16 February 2009	None	['None']
snes-06344	Dragnet's Sgt. Joe Friday character frequently implored female informants to provide "Just the facts, ma'am."	false	https://www.snopes.com/fact-check/just-the-facts/	None	Entertainment	None	David Mikkelson	None	Dragnet ‘Just the Facts’	29 March 2002	None	['None']
snes-03650	An anonymous donor contributed $2.5 million to bail out protesters arrested at the Dakota Access Pipeline.	unproven	https://www.snopes.com/fact-check/anonymous-donor-pays-2-5-million/	None	Legal	None	David Emery	None	Anonymous Donor Pays $2.5 Million to Release Everyone Arrested at Dakota Access Pipeline?	1 November 2016	None	['None']
snes-05980	Images show President Obama disembarking from Marine One with a cell phone or coffee cup in his hand.	true	https://www.snopes.com/fact-check/cell-phone-salute/	None	Politicians	None	David Mikkelson	None	President Obama’s Cell Phone Salute	23 September 2014	None	['Barack_Obama']
snes-02205	Teens can text 741741 from anywhere to talk with a crisis counselor.	mostly true	https://www.snopes.com/fact-check/crisis-text-line-741741/	None	Inboxer Rebellion	None	Dan Evon	None	741741: Crisis Text Hotline	21 September 2015	None	['None']
snes-02787	Pope Francis: 'God Has Instructed Me to Revise the Ten Commandments'?	false	https://www.snopes.com/fact-check/pope-changing-commandments/	None	Junk News	None	Dan Evon	None	Pope Francis: ‘God Has Instructed Me to Revise the Ten Commandments’?	7 July 2015	None	['None']
snes-03764	Mark Zuckerberg is giving $1,000 away to Facebook users who refrain from sharing hoaxes.	false	https://www.snopes.com/fact-check/zuckerberg-dont-share-hoaxes/	None	Computers	None	Bethania Palma	None	Mark Zuckerberg Promises $1,000 to Facebook Users If They Don’t Share Hoaxes	19 October 2016	None	['Mark_Zuckerberg', 'Facebook']
snes-00153	Saudi authorities have condemned and executed female human rights activist Israa al-Ghomgham.	mostly false	https://www.snopes.com/fact-check/saudi-female-activist-execution/	None	Politics	None	Dan MacGuill	None	Has Saudi Arabia Executed Activist Esra al-Ghamgam?	29 August 2018	None	['Saudi_Arabia']
snes-04506	Orlando nightclub shooter Omar Mateen's final text to his wife admitted he was gay.	false	https://www.snopes.com/fact-check/omar-mateens-final-text/	None	Junk News	None	Snopes Staff	None	Omar Mateen’s Final Text to Wife Released: “I’m Gay, That’s Why I’m Doing This.”	6 July 2016	None	['None']
snes-05444	Property owners in New York City will be fined $250,000 for using "improper pronouns" due to new transgender laws.	mixture	https://www.snopes.com/fact-check/transgender-pronouns-fine-nyc/	None	Crime	None	Dan Evon	None	New NYC Laws Prohibit Discrimination Against Transgender Community	28 December 2015	None	['New_York_City']
snes-00235	In August 2018, adhesive replicas of President Donald Trump's recently-destroyed star were placed on the Walk of Fame on Hollywood Boulevard.	true	https://www.snopes.com/fact-check/trump-star-stickers-walk-of-fame/	None	Politics	None	Dan MacGuill	None	Were Additional Donald Trump ‘Stars’ Placed on the Hollywood Walk of Fame?	10 August 2018	None	['Hollywood_Walk_of_Fame', 'Donald_Trump']
snes-06002	Escape artist Harry Houdini died from a ruptured appendix caused by his being punched in the stomach.	legend	https://www.snopes.com/fact-check/death-of-houdini/	None	Horrors	None	David Mikkelson	None	Death of Houdini	2 May 2001	None	['None']
snes-01714	Black and white caterpillars can cause severe allergic reactions in some people who touch them.	true	https://www.snopes.com/fact-check/black-and-white-caterpillars/	None	Critter Country	None	Snopes Staff	None	Are Black-and-White Caterpillars ‘Poisonous’?	10 August 2011	None	['None']
snes-02802	An eighth Russian with ties to the Trump-Russia scandal has mysteriously died.	unproven	https://www.snopes.com/fact-check/eighth-russian-tied-to-trump-dies/	None	Politics	None	Bethania Palma	None	Did an Eighth Russian with Ties to President Trump Die Suspiciously?	10 March 2017	None	['Russia']
snes-01878	Did Protesters Burn a Minnesota County's Flag and Raise an Anti-Fascist One at a Local Jail	true	https://www.snopes.com/fact-check/hennepin-county-flag/	None	Politics	None	Dan MacGuill	None	Did Protesters Burn a Minnesota County’s Flag and Raise an Anti-Fascist One at a Local Jail?	18 August 2017	None	['None']
snes-04973	Pimm's signed a sponsorship deal to display its logo on Big Ben.	false	https://www.snopes.com/fact-check/pimms-logo-big-ben-joke/	None	Uncategorized	None	Dan Evon	None	Pimm’s Signs Sponsorship Deal to Display Logo on Big Ben	1 April 2016	None	['None']
snes-01122	Sen. Jeff Klein (D-New York) is part of negotiations regarding anti-sexual harassment laws — after he was accused of the same offense.	true	https://www.snopes.com/fact-check/ny-lawmaker-anti-harassment/	None	Politics	None	Arturo Garcia	None	Is a New York Lawmaker Accused of Sexual Misconduct Negotiating Anti-Harassment Laws?	25 January 2018	None	['None']
snes-01021	Pope Francis allowed a little girl with Down Syndrome to sit with him as he gave a homily.	mostly true	https://www.snopes.com/fact-check/pope-francis-girl-sit-mass/	None	Religion	None	Dan MacGuill	None	Did Pope Francis Allow a Little Girl to Sit With Him During a Homily?	13 February 2018	None	['None']
snes-03266	Convicted Charleston church shooter Dylann Roof was raped in prison.	false	https://www.snopes.com/fact-check/charleston-church-shooter-dylann-roof-raped-cell/	None	Junk News	None	Kim LaCapria	None	Charleston Church Shooter Dylann Roof Was Raped in His Cell	26 December 2016	None	['None']
snes-05790	A can of wasp spray is a preferable alternative to pepper spray for protection against assailants.	mixture	https://www.snopes.com/fact-check/spray-for-pain/	None	Crime	None	David Mikkelson	None	Wasp Spray for Self-Defense?	22 June 2009	None	['None']
snes-06016	Recently released records document that Barack Obama received college financial aid in the U.S. as a "foreign student from Indonesia."	false	https://www.snopes.com/fact-check/the-occidental-tourist/	None	Politicians	None	David Mikkelson	None	Barack Obama Was a Foreign College Student	8 May 2009	None	['United_States', 'Indonesia', 'Barack_Obama']
snes-05909	NORAD annually tracks Santa's progress because a child trying to reach Santa via a newspaper advertisement called the wrong phone number.	true	https://www.snopes.com/fact-check/track-meet/	None	Holidays	None	David Mikkelson	None	Why NORAD Tracks Santa	23 December 2012	None	['Santa_Claus']
snes-05178	If you share a photo of yourself wearing Mickey Mouse ears, Disney Parks will donate $5 to the Make-A-Wish foundation.	mostly true	https://www.snopes.com/fact-check/share-your-ears-disney/	None	Viral Phenomena	None	Kim LaCapria	None	‘Share Your Ears’ Make-A-Wish Disney Fundraiser?	22 February 2016	None	['Mickey_Mouse', 'Walt_Disney_Parks_and_Resorts']
snes-05732	Videos have captured strange apocalyptic sounds coming from the sky all around the world.	mixture	https://www.snopes.com/fact-check/the-sound-of-apocalypse/	None	Fauxtography	None	David Mikkelson	None	The Sound of Apocalypse	30 April 2015	None	['None']
snes-00812	Toni Braxton Death	false	https://www.snopes.com/fact-check/toni-braxton-death-hoax/	None	Junk News	None	David Mikkelson	None	Toni Braxton Death Hoax	4 April 2018	None	['None']
snes-05078	Russian President Vladimir Putin endorsed Sen. Bernie Sanders for President.	false	https://www.snopes.com/fact-check/putin-endorses-bernie-sanders/	None	Uncategorized	None	Kim LaCapria	None	Vladimir Putin Did Not Endorse Bernie Sanders	11 March 2016	None	['Vladimir_Putin', 'Russia', 'Bernie_Sanders']
snes-00085	President Donald Trump once said that "faith is more powerful than government."	correct attribution	https://www.snopes.com/fact-check/faith-is-more-powerful-than-government/	None	Politics	None	Dan Evon	None	Did President Trump Say That ‘Faith Is More Powerful Than Government?’	14 September 2018	None	['None']
snes-01382	Did Tokyo Open the First Human Meat Restaurant?	false	https://www.snopes.com/fact-check/tokyo-human-meat-restaurant/	None	Junk News	None	David Mikkelson	None	Did Tokyo Open the First Human Meat Restaurant?	2 December 2017	None	['None']
snes-04062	The 9/11 terrorist attacks trapped a World Trade Center worker into inadvertently revealing his adulterous activities to his wife.	legend	https://www.snopes.com/fact-check/911-adultery/	None	September 11th	None	Snopes Staff	None	September 11 Adultery Revelation	5 October 2001	None	['None']
snes-02631	Did Jeff Sessions Refer To Immigrants as ‘Filth’?	false	https://www.snopes.com/fact-check/jeff-sessions-immigrants-filth/	None	Politics	None	Arturo Garcia	None	Did Jeff Sessions Refer to Immigrants as ‘Filth’?	12 April 2017	None	['None']
snes-00442	Rob Rogers was fired by his newspaper after creating a cartoon which featured President Donald Trump snatching a child immigrant.	mostly true	https://www.snopes.com/fact-check/was-cartoonist-fired-for-trump-drawing/	None	Politics	None	Dan Evon	None	Was a Cartoonist Fired for an Anti-Trump Drawing?	19 June 2018	None	['None']
snes-02988	Tom Brady flashed his middle finger while being presented with the 2017 Super Bowl MVP trophy.	false	https://www.snopes.com/fact-check/tom-brady-flip-off-nfl-commissioner/	None	Fauxtography	None	Arturo Garcia	None	Did Patriots QB Tom Brady Flip Off the NFL Commissioner?	6 February 2017	None	['Tom_Brady']
snes-01518	Photograph shows a masked partygoer who killed seven people on Halloween 1962.	false	https://www.snopes.com/fact-check/black-mask-of-death/	None	Horrors	None	David Mikkelson	None	1962 Halloween Massacre	19 October 2014	None	['None']
snes-02940	Did President Donald Trump Ban 'Full Face' Veils?	false	https://www.snopes.com/fact-check/trump-ban-full-face-veils/	None	Junk News	None	Kim LaCapria	None	Did President Donald Trump Ban ‘Full Face’ Veils?	14 February 2017	None	['None']
snes-05095	President Obama opted to skip Nancy Reagan's funeral in order to "party" at an "entertainment festival."	mostly false	https://www.snopes.com/fact-check/obama-nancy-reagans-funeral/	None	Politicians	None	Kim LaCapria	None	Did Barack Obama Skip Nancy Reagan’s Funeral to ‘Party’?	9 March 2016	None	['Barack_Obama', 'Nancy_Reagan']
snes-01092	Justin Timberlake said that “The whole concept of mandatory vaccination schedules is un-American.”	false	https://www.snopes.com/fact-check/timberlake-mandatory-vaccination-schedules/	None	Junk News	None	David Mikkelson	None	Did Justin Timberlake Say ‘Mandatory Vaccination Schedules Are Un-American’?	31 January 2018	None	['None']
snes-00100	The Nike sports apparel company owns the Chevrolet automobile brand.	false	https://www.snopes.com/fact-check/does-nike-own-chevrolet/	None	Business	None	Dan Evon	None	Does Nike Own Chevrolet?	12 September 2018	None	['Nike,_Inc.', 'Chevrolet']
snes-01442	In 1970, the Oregon Department of Transportation attempted to dispose of a whale carcass by blowing it up.	true	https://www.snopes.com/fact-check/thar-she-blows/	None	Critter Country	None	Snopes Staff	None	Oregon’s Infamous Exploding Whale	19 March 2000	None	['None']
snes-00108	Did Nike Fire Colin Kaepernick After an Arrest?	false	https://www.snopes.com/fact-check/nike-fire-colin-kaepernick-after-arrest/	None	Junk News	None	David Emery	None	Did Nike Fire Colin Kaepernick After an Arrest?	10 September 2018	None	['None']
snes-05081	A video shows Secret Service agents practicing for advanced reverse escapes at a racetrack.	false	https://www.snopes.com/fact-check/secret-service-limo-video/	None	Uncategorized	None	Dan Evon	None	Does This Video Show Secret Service Agents Training for ‘Advanced Reverse Escapes’?	11 March 2016	None	['None']
snes-04325	Black Lives Matter co-founder Kayla McKelvey defected on an ice rink because "only white people ice skate."	false	https://www.snopes.com/fact-check/black-lives-matter-co-founder-poops-on-ice-rink/	None	Fauxtography	None	Kim LaCapria	None	Black Lives Matter Co-Founder Poops on Ice Rink	3 August 2016	None	['None']
snes-05358	The remains of more than 250 soldiers were dumped in a landfill between 2004 and 2008, a fact that was ignored by the mainstream media.	mixture	https://www.snopes.com/fact-check/soldiers-remains-dumped-landfill/	None	Politics	None	Dan Evon	None	Remains of Soldiers Dumped in Landfill	15 January 2016	None	['None']
snes-04729	Photographs depict then-model Melania Trump (nee Knauss) posing provocatively for GQ magazine.	true	https://www.snopes.com/fact-check/melania-trump-vs-michelle-obama/	None	Fauxtography	None	Kim LaCapria	None	Melania Trump vs. Michelle Obama	23 May 2016	None	['GQ', 'Melania_Trump']
